Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20210201,clip_0_0000,5,01/02/2021 00:00,-1.1,97,0,-1.6,196,2.8,0,0
20210201,clip_50_2353,115,01/02/2021 23:53,-5.3,97,0,-5.7,0,0,0,0
20210201,clip_28_1411,115,01/02/2021 14:11,2.2,77,0,-1.3,216,2.4,261,10
20210201,clip_37_1812,115,01/02/2021 18:12,-1.5,87,0,-3.3,145,1.9,0,0
20210201,clip_17_0857,70,01/02/2021 08:57,-0.1,98,0,-0.4,247,1.5,56,0
20210201,clip_43_2100,5,01/02/2021 21:00,-3.7,97,0,-4,0,0,0,0
20210201,clip_33_1620,5,01/02/2021 16:20,0.3,82,0,-2.4,209,1.3,0,0
20210201,clip_7_0417,76,01/02/2021 04:17,-0.1,98,0,-0.5,216,3.2,0,0
20210201,clip_23_1151,115,01/02/2021 11:51,0.9,90,0,-0.6,207,2.2,184,9.5
20210201,clip_41_2004,115,01/02/2021 20:04,-2.4,96,0,-3.1,179,1.9,0,0
20210201,clip_35_1716,60,01/02/2021 17:16,-0.6,87,0,-2.5,154,1.8,0,0
20210201,clip_46_2224,5,01/02/2021 22:24,-4.7,98,0,-5.1,0,0,0,0
20210201,clip_4_0253,115,01/02/2021 02:53,-1.6,97,0,-2.1,206,2.4,0,0
20210201,clip_11_0609,115,01/02/2021 06:09,-0.7,99,0,-0.9,211,2.8,0,0
20210201,clip_31_1535,5,01/02/2021 15:35,1,82,0,-1.8,199,0.6,16,0
20210201,clip_25_1247,5,01/02/2021 12:47,1.8,87,0,-0.1,208,2.7,306,10
20210201,clip_20_1021,14,01/02/2021 10:21,0.5,96,0,-0.1,190,2,102,0
20210201,clip_5_0321,115,01/02/2021 03:21,-0.9,97,0,-1.3,220,3,0,0
20210201,clip_30_1507,5,01/02/2021 15:07,1.6,81,0,-1.4,210,1.2,74,0
20210201,clip_48_2257,5,01/02/2021 22:57,-5.7,97,0,-6.1,267,0.6,0,0
20210201,clip_14_0733,93,01/02/2021 07:33,-0.4,99,0,-0.6,221,2.2,3,0
20210201,clip_45_2156,5,01/02/2021 21:56,-4.2,98,0,-4.5,0,0,0,0
20210201,clip_38_1840,115,01/02/2021 18:40,-2,89,0,-3.6,148,1.3,0,0
20210201,clip_36_1744,5,01/02/2021 17:44,-1.1,88,0,-2.9,146,1.8,0,0
20210201,clip_3_0124,16,01/02/2021 01:24,-1.2,95,0,-1.9,206,2.4,0,0
20210201,clip_34_1648,5,01/02/2021 16:48,-0.2,85,0,-2.4,136,1.2,0,0
20210201,clip_26_1315,17,01/02/2021 13:15,2.2,81,0,-0.7,215,3,276,10
20210201,clip_42_2032,115,01/02/2021 20:32,-2.8,97,0,-3.3,192,0.4,0,0
20210201,clip_24_1219,115,01/02/2021 12:19,1.3,89,0,-0.2,207,2.3,207,10
20210201,clip_6_0349,96,01/02/2021 03:49,-0.5,98,0,-0.8,225,3.1,0,0
20210201,clip_9_0513,115,01/02/2021 05:13,-0.1,98,0,-0.4,222,2.4,0,0
20210201,clip_18_0925,103,01/02/2021 09:25,0.2,98,0,-0.2,218,1.1,135,10
20210201,clip_10_0541,5,01/02/2021 05:41,-0.5,98,0,-0.8,209,2.3,0,0
20210201,clip_22_1123,5,01/02/2021 11:23,0.7,94,0,-0.1,205,1.9,82,0
20210201,clip_49_2325,5,01/02/2021 23:25,-5.2,97,0,-5.5,0,0,0,0
20210201,clip_40_1936,54,01/02/2021 19:36,-2.2,94,0,-3.1,154,2.4,0,0
20210201,clip_47_2229,115,01/02/2021 22:29,-4.7,98,0,-5,130,0.5,0,0
